Year,Quarter,Yearquarter,Start_Date,end_Date,zero
2017,1,2017Q1,1/1/2017,3/31/2017,0
2017,2,2017Q2,4/1/2017,6/30/2017,0
2017,3,2017Q3,7/1/2017,9/30/2017,0
2017,4,2017Q4,10/1/2017,12/31/2017,0
2018,1,2018Q1,1/1/2018,3/31/2018,0
2018,2,2018Q2,4/1/2018,6/30/2018,0
2018,3,2018Q3,7/1/2018,9/30/2018,0
2018,4,2018Q4,10/1/2018,12/31/2018,0
2019,1,2019Q1,1/1/2019,3/31/2019,0
2019,2,2019Q2,4/1/2019,6/30/2019,0
2019,3,2019Q3,7/1/2019,9/30/2019,0
2019,4,2019Q4,10/1/2019,12/31/2019,0
2020,1,2020Q1,1/1/2020,3/31/2020,0
2020,2,2020Q2,4/1/2020,6/30/2020,0
2020,3,2020Q3,7/1/2020,9/30/2020,0
2020,4,2020Q4,10/1/2020,12/31/2020,0
2021,1,2021Q1,01/01/2021,3/31/2021,0
2021,2,2021Q2,4/1/2021,6/30/2021,0
2021,3,2021Q3,7/1/2021,9/30/2021,0
2021,4,2021Q4,10/1/2021,12/31/2021,0
